ids	count
18bf283b-3579-42c2-a347-139073fc11bf_ENSG00000136492.10	5.0
18c9d281-f620-4e31-9397-8bbfc301eb97_ENSG00000136492.10	38.0
18d81033-b796-431e-a049-88ad554e3101_ENSG00000136492.10	5.0
18e8bd2d-6158-4b80-a941-371fc7f48ca3_ENSG00000136492.10	734.0
18f8e116-91ae-48a3-854b-2a8659d082ab_ENSG00000136492.10	3.0
191aac9f-81fb-4ab9-82e5-58f671aceeb0_ENSG00000136492.10	133.0
19365e47-54f4-4513-b391-488bba6ccf83_ENSG00000136492.10	6.0
195fa772-69ae-4aad-9e87-5ce1d396331b_ENSG00000108384.16	90.0
19617405-dd7b-4b32-a6f1-1cb4a562686e_ENSG00000108384.16	58.0
199785be-2695-41ce-b053-eb9be9229c9e_ENSG00000136492.10	75.0
199abd48-53b8-42e0-9f78-b1aa1a681735_ENSG00000136492.10	13.0
199e10e6-4c7a-442d-ab7a-d5cc558b577e_ENSG00000108384.16	22.0
19ce2f7a-ccda-42ca-bc69-2f82b6b27ddc_ENSG00000136492.10	18.0
19d96273-5053-4ab0-858e-41dfb402edda_ENSG00000136492.10	4.0
19dcc51f-a597-4687-b73e-e4280d570a5f_ENSG00000136492.10	87.0
1a02f964-fba5-4e31-8610-e879f244dd5a_ENSG00000136492.10	5.0
1a07c2dd-d9c0-4524-926f-e1c4619a00bb_ENSG00000185379.21	44.0
1a2c3ac2-a642-4c87-ad22-3f761931ab68_ENSG00000108384.16	9.0
1a35be30-a398-48e8-adc9-b6323dc5a7c8_ENSG00000185379.21	44.0
1a3b51b3-a95f-40e3-a3ce-5ff0d3706aeb_ENSG00000108384.16	73.0
1a48e5fe-fb69-47c2-9259-474c10a06cb9_ENSG00000136492.10	21.0
1a58e10c-f041-4c3e-a886-9bee9d5fa97b_ENSG00000185379.21	37.0
1a65a0c7-f720-47a3-8424-7b3751a09dca_ENSG00000136492.10	17.0
1a713c92-e8dc-4097-a8d6-b9f1920ba965_ENSG00000108384.16	22.0
1a7ffeeb-eeba-404e-a821-b18f966a6449_ENSG00000108384.16	539.0
1a8db641-66a3-4655-b15c-696f8ce98d69_ENSG00000185379.21	48.0
1a990923-a2e7-422e-9bf9-747782b9d1c2_ENSG00000108384.16	26.0
1aa2d163-fa6e-4c8f-aebd-1f89f02a3600_ENSG00000136492.10	2.0
1aa7f383-d4db-4d76-8deb-f1f74e6402e7_ENSG00000108384.16	27.0
1abee0d4-34b9-4bf7-b41c-ab5ceba3e192_ENSG00000185379.21	56.0
1ae08e82-fa3e-40b7-ab54-6557dca4f44b_ENSG00000136492.10	6.0
1aed134a-7771-41f2-83fd-f37ec55dbf1b_ENSG00000108384.16	26.0
1b01fcbb-9009-4802-91d5-f6d3ef29121b_ENSG00000185379.21	261.0
1b02e99a-af13-41bc-94ce-efc680286b91_ENSG00000136492.10	22.0
1b09daf6-d949-44e4-ad6a-e3ed9e447863_ENSG00000136492.10	13.0
1b25be18-70ac-4ab9-9eb5-b9120f0d37de_ENSG00000185379.21	3189.0
1b3143d0-8ace-4697-9a47-2fe0c4079bb9_ENSG00000108384.16	472.0
1b3f1794-9a89-4b3a-b3f0-97826b2ac825_ENSG00000108384.16	11.0
1b592990-5aea-4d51-ae12-fca22150d3e2_ENSG00000136492.10	232.0
1b5a29bf-b71e-4961-bb5d-3a569ebd1bb6_ENSG00000136492.10	4.0
1b6512e9-ca79-42ac-925b-15d77b4ccda6_ENSG00000108384.16	24.0
1b803a8e-8d36-429c-b5fd-97359d45ffcc_ENSG00000185379.21	3694.0
1ba207ec-605c-4544-b13b-e7f8352a3261_ENSG00000136492.10	10.0
1bb11570-f6b9-44f0-a030-d85f03c4cdaa_ENSG00000136492.10	24.0
1bb1fed3-91a8-4d68-b7b3-f8e5c1fb7191_ENSG00000136492.10	25.0
1bb333de-6c54-42f2-bc06-6180c2d0aa0d_ENSG00000136492.10	10.0
1bba01b8-a3d5-4760-a6e5-d56048809a7b_ENSG00000136492.10	2778.0
1bba350d-0762-404a-aa2f-6ad527df0a92_ENSG00000136492.10	12.0
1bbdbeb2-2672-4642-8afb-feae56b08876_ENSG00000108384.16	1245.0
1bbf614e-3450-4c33-917d-f1f5e9015081_ENSG00000136492.10	9.0
1bc84d5b-9fa8-4b38-9e5d-bb953695511e_ENSG00000136492.10	17.0
1bcb64b6-6894-4895-8434-4d365d76d643_ENSG00000136492.10	63.0
1bcd48c2-3f58-4b02-a3ad-719e968577f4_ENSG00000136492.10	33.0
1bda2c04-139b-42e0-ad17-df7ff2ef88b8_ENSG00000108384.16	14.0
1bfca9ab-287f-48e5-b047-9a16050fc7c8_ENSG00000136492.10	6.0
1c2630b9-3277-4b4e-bff3-5e3aa26791da_ENSG00000108384.16	18.0
1c617f84-ea54-4f21-b9a4-28f1ba6466cc_ENSG00000136492.10	16.0
1c681598-9c32-42d4-94c4-055190c91eb4_ENSG00000108384.16	259.0
1c76668c-536e-4e67-b891-78d7aa3f6185_ENSG00000136492.10	4.0
1c9d80aa-bcfd-4dfe-913a-73b37bd834b1_ENSG00000136492.10	13.0
1ca3a288-825f-47ac-8973-93b704eb62a7_ENSG00000136492.10	104.0
1cb7f8a0-a144-4c73-aad6-ead6e42ab94a_ENSG00000136492.10	33.0
1ccaa377-d8fa-48b8-8a34-566568f8580d_ENSG00000108384.16	32.0
1cdb0ef3-0f8d-4c52-9983-8bc6250145bb_ENSG00000136492.10	32.0
1ceb6592-194e-46cb-b2fc-492f3081f563_ENSG00000136492.10	299.0
