ids	sample1_conditionA_batch1	sample2_conditionA_batch1	sample3_conditionA_batch1	sample4_conditionA_batch1	sample5_conditionA_batch1
daf28e53-9007-4155-be65-eade7b3bcbe3_ENSG00000183765.23	7.0	13.0	4.0	12.0	0.0
dbec6b7b-937d-460e-ac76-662f16c7a720_ENSG00000183765.23	0.0	6.0	8.0	4.0	0.0
dc65bbd7-9748-4116-ae16-150fa4e9bd2c_ENSG00000183765.23	2.0	2.0	0.0	0.0	0.0
df7630cb-ea07-4b01-bd8c-d82ca8b57a7b_ENSG00000183765.23	0.0	3.0	7.0	2.0	0.0
df827488-a4f5-4438-a6ee-03833515dc6c_ENSG00000183765.23	0.0	5.0	2.0	0.0	0.0
e01cfb67-9e90-42cb-89be-05ca30b418c1_ENSG00000183765.23	0.0	6.0	5.0	2.0	0.0
e19a2f36-3a7d-40db-8407-8abbe2284520_ENSG00000183765.23	0.0	6.0	1.0	1.0	0.0
e3b9ca7d-2d67-4367-b91a-a3ea8d023b05_ENSG00000183765.23	863.0	10849.0	16766.0	10406.0	0.0
e52576f6-b5e0-49fd-a764-b67e7bd96b87_ENSG00000183765.23	1.0	7.0	3.0	7.0	0.0
e812690b-0b7d-492b-8751-657eff2412e4_ENSG00000183765.23	5.0	6.0	2.0	2.0	0.0
e88d8097-16f6-4484-95a3-9ba550cc3b7b_ENSG00000183765.23	0.0	6.0	3.0	1.0	0.0
e998ff67-7941-4822-a796-260a7bce6481_ENSG00000183765.23	0.0	8.0	5.0	2.0	0.0
eccd4e26-f62a-48c6-9324-01994988c206_ENSG00000183765.23	9.0	26.0	9.0	12.0	0.0
ee51b700-4aae-47ac-aaff-62063674fd00_ENSG00000183765.23	0.0	8.0	1.0	1.0	0.0
eec85cfc-2ac7-4aa8-b684-022acc4bd0cd_ENSG00000183765.23	152.0	26.0	17.0	186.0	0.0
ef48b887-5cdd-4a03-adb8-541e875a42d6_ENSG00000183765.23	2.0	2.0	2.0	1.0	0.0
f016cf92-1142-4a2b-ad07-915c58e2eef7_ENSG00000183765.23	0.0	11.0	2.0	1.0	0.0
f222648c-fd45-44d8-8f81-8447feac4068_ENSG00000183765.23	0.0	5.0	4.0	1.0	0.0
f237865d-4f91-4c64-b706-1617844161b0_ENSG00000183765.23	2.0	15.0	5.0	11.0	0.0
f59f9966-5cef-4db0-a541-b940119954c3_ENSG00000183765.23	1.0	8.0	9.0	3.0	0.0
faf9e7d3-43ae-47e4-91ec-2243596f25f3_ENSG00000183765.23	2.0	1.0	2.0	0.0	0.0
fb89b28a-c55b-49b7-8bc3-a1225b9e945b_ENSG00000183765.23	0.0	6.0	1.0	2.0	0.0
fbf45a4f-9219-4571-89c8-6b523bd85323_ENSG00000183765.23	0.0	33.0	0.0	2.0	0.0
fc0814eb-85d2-4398-86d5-7b1bbd891099_ENSG00000183765.23	3.0	9.0	7.0	4.0	0.0
fe90bf5e-bcba-4a19-9714-7b8744863fce_ENSG00000183765.23	1.0	2646.0	8.0	20.0	0.0
fee4fa31-d533-4858-be9f-c06730590977_ENSG00000183765.23	1.0	5.0	1.0	3.0	0.0
