ids	count
6340407f-0fdf-4faa-ba7b-73c642e1e4a8_ENSG00000183765.23	57.0
637d0167-9fda-440d-8d81-5c6c5d299eca_ENSG00000183765.23	7.0
63c62a99-35ed-4990-a453-f3179bf80bb3_ENSG00000183765.23	1.0
64371054-e850-48e1-b0a4-5119a741c0c2_ENSG00000183765.23	13.0
64c3f3ac-0871-4214-9681-bdbc62160d55_ENSG00000183765.23	6.0
64ce907e-8e65-470f-9034-ebaca12d5625_ENSG00000183765.23	4.0
651ca232-8963-449d-9235-67614be1f580_ENSG00000183765.23	94.0
6611dc07-98ef-4382-8463-8729c025f336_ENSG00000183765.23	44.0
6620d5f4-5a50-4ae5-92ac-c0aad6c62f37_ENSG00000183765.23	77.0
66d26f26-fe84-43bc-8059-26a96ac93578_ENSG00000183765.23	20.0
67279e6e-864e-49ce-8524-32c6b2398b16_ENSG00000183765.23	15.0
672e9348-b4a3-4048-a5d3-8a9b570a1350_ENSG00000183765.23	91.0
67c8e436-4c44-4aef-9125-0f42d826daec_ENSG00000183765.23	84.0
6897e630-b502-4836-90a1-70b5eaa826db_ENSG00000183765.23	93.0
68ff3d9d-bd46-438d-8ebc-f79744536b0f_ENSG00000183765.23	15.0
692b0d71-dd11-4800-8917-8759951298b2_ENSG00000183765.23	51.0
6a420053-a8c6-4ebf-bcbf-1ed1550c7b58_ENSG00000183765.23	5.0
6ad9d712-17c5-4a27-bfc8-48da3dd3b298_ENSG00000183765.23	32.0
6ae76468-98b5-4aff-a5ab-4d87b7e8f3ba_ENSG00000183765.23	9.0
6b29b178-306f-4510-b466-9459e3e4ba2c_ENSG00000183765.23	21.0
6b774022-f56b-4c38-ba10-1c619a056ded_ENSG00000183765.23	5.0
6b9b1ff4-b470-4261-ad93-9bba3fb447f3_ENSG00000183765.23	6.0
6c5cb6be-1ba2-4910-9703-9c5594cf2ce2_ENSG00000183765.23	6.0
6c75a154-74ee-4de5-a023-9842ac251e28_ENSG00000183765.23	9.0
6c87ca38-bfd2-44a7-a962-2243f353efe7_ENSG00000183765.23	3.0
6cbeb153-b81f-44d8-9c61-efb51266c945_ENSG00000183765.23	7.0
6cea0ed0-af01-4d18-a5f7-b2438504073b_ENSG00000183765.23	9.0
6d6eb6d1-4ba0-45df-8461-6b7eb41b23da_ENSG00000183765.23	12.0
6ddb12e9-b6d9-4431-8be1-974a1b9b432e_ENSG00000183765.23	4.0
6e895444-e7a2-4023-8201-a21579103f3c_ENSG00000183765.23	1821.0
6ebd1a07-b410-4b0e-9b96-fdb553945d43_ENSG00000183765.23	7.0
6f0ea4d8-93a2-478c-95c3-67d862fcf3d9_ENSG00000183765.23	7.0
6fb7c2f3-059b-4525-b08e-f687f501a190_ENSG00000183765.23	18.0
6fe09814-6411-4fba-802c-8b0906f71451_ENSG00000183765.23	3.0
6fe8460b-2964-4994-84bc-c05a10c58c86_ENSG00000183765.23	4.0
6fecfaee-6a72-4608-8612-217fd7e8b769_ENSG00000183765.23	18.0
70bc617e-6785-4bf4-8d7b-ea7e463afcc2_ENSG00000183765.23	372.0
70fb5858-501e-4c32-aaaf-35f89c6ea091_ENSG00000183765.23	262.0
71a388c8-0f8c-4b79-a76a-c68df6720d9f_ENSG00000183765.23	13.0
722814ef-65b2-4a03-b1ce-fbed7555fd0e_ENSG00000183765.23	9.0
723caf93-cc7e-4a77-b6e7-67a8626d057a_ENSG00000183765.23	14.0
7294f9f2-2117-4890-b555-4bf3d90eec5e_ENSG00000183765.23	9.0
72b9864c-d97a-4971-9f8f-cdf03e1f3593_ENSG00000183765.23	7.0
72e4b3d8-dd64-48fa-9cf4-ba2b7b7b7a5a_ENSG00000183765.23	1015.0
7349e8d8-dca0-45ac-9354-320cece5813e_ENSG00000183765.23	7.0
745c192c-0ba6-4a42-a601-55f94ac7e6eb_ENSG00000183765.23	7.0
747d2215-9071-4d79-ba6e-46aed0130e11_ENSG00000183765.23	242.0
74b6428e-d8d3-461f-8237-5ce56d526bd0_ENSG00000183765.23	15.0
74e84651-d5f1-4b25-a221-30530d738119_ENSG00000183765.23	13.0
764b51d3-99f0-455d-befe-52ea1362901d_ENSG00000183765.23	4.0
76a3db76-30f9-42ad-8551-bd4451f85323_ENSG00000183765.23	9.0
77fa8c1f-d322-4f73-b35d-98008f7a588f_ENSG00000183765.23	97.0
7a11ee9d-f208-4353-b95a-95a257de7c2f_ENSG00000183765.23	147.0
7a35146f-bbe6-4e28-a7c7-08c44c67375d_ENSG00000183765.23	3.0
7acd223d-dd13-4a65-a8dd-c0a67f90cd68_ENSG00000183765.23	8.0
7b0ba332-3b3b-4fcc-bc1c-f8ff6608154f_ENSG00000183765.23	4.0
7c199051-57c9-40ea-9343-4479535b0438_ENSG00000183765.23	6.0
7c2199c0-07b2-496f-b57b-6539fe5aca4d_ENSG00000183765.23	6.0
7c2f5e63-d31c-418d-8938-970fb82da5b2_ENSG00000183765.23	12.0
7f4199a4-e429-4482-9f96-4eb16e86a890_ENSG00000183765.23	4.0
7ffd9aea-c741-4689-b0c8-7e47c638329a_ENSG00000183765.23	37.0
80c14271-d071-44c2-9c09-59d11e6a43d2_ENSG00000183765.23	12.0
80fecfe6-6a1f-457b-91bd-d941782e77c8_ENSG00000183765.23	8.0
81414ff3-f777-4872-b2d8-2c12894dcbc4_ENSG00000183765.23	4.0
8150a63b-3179-46f3-a8e1-ca00ce30edd7_ENSG00000183765.23	29.0
821b9b59-4966-44ae-9a32-db7b25a6d197_ENSG00000183765.23	144.0
8228fd93-8173-4388-bd6f-622816d1ffc2_ENSG00000183765.23	15.0
82a8c887-55eb-4cc0-942f-4c2ff793162c_ENSG00000183765.23	3.0
8353f80b-9dba-41ed-a9c5-3bc657ce0ed7_ENSG00000183765.23	12.0
843c1b83-81d7-417a-b35d-082512906275_ENSG00000183765.23	134.0
852e97e4-5fa7-4c32-b643-14974f72c9fb_ENSG00000183765.23	5.0
85301bea-992f-499c-8f19-9b394c3ca94e_ENSG00000183765.23	3.0
865b62e5-a84d-4253-9669-5837d6c9037e_ENSG00000183765.23	485.0
86761caa-d1bf-49b5-8c85-a27572306aed_ENSG00000183765.23	5.0
8694c3c3-6d47-420a-abb8-70d88ed48d79_ENSG00000183765.23	1.0
86b56aff-4737-45f6-a504-491eeed736dd_ENSG00000183765.23	7.0
86f49ddb-49cf-4ca6-a386-b73d76b4fbd0_ENSG00000183765.23	8.0
87303f09-0a7d-4551-a1c6-81319e7ef5c4_ENSG00000183765.23	142.0
87520ccf-945d-401e-8a38-a2e1c2d64800_ENSG00000183765.23	481.0
88cdb373-449d-4a24-8cd3-3f628d8470f4_ENSG00000183765.23	4.0
88f4bd7f-86c1-440d-9a14-a28ec567c262_ENSG00000183765.23	11.0
89720e1b-54ad-4f5d-9a7d-f7f17a8aab22_ENSG00000183765.23	279.0
89f99b6a-63ed-45bc-b243-01f826ca7514_ENSG00000183765.23	6.0
89fddb53-534d-47b6-a92a-4f32c0189d46_ENSG00000183765.23	12.0
8a016107-037e-444f-976f-d913ff635639_ENSG00000183765.23	6.0
8a317795-770c-4124-a867-67e50c741779_ENSG00000183765.23	10.0
8a5d3cbb-8710-4af2-be32-9405f9c4944c_ENSG00000183765.23	4.0
8b374443-2a10-4bbc-932c-d7e795f65c5b_ENSG00000183765.23	262.0
8b3de83a-dfc9-49f7-a1cc-1db5d13d3df5_ENSG00000183765.23	25.0
8b3eff11-8ab3-49f0-afa2-792d33810b77_ENSG00000183765.23	9.0
8c3c1613-e4c5-4e5e-afe6-40b3484e623f_ENSG00000183765.23	762.0
8de024d4-9659-40f1-87c9-11ff723ce27d_ENSG00000183765.23	3.0
8e887103-4114-4291-86b0-0db3a73a22c9_ENSG00000183765.23	81.0
8f849399-39ba-46ac-8988-4b36376efab2_ENSG00000183765.23	137.0
9036b45a-fedc-4936-93c7-ed5b2ad84395_ENSG00000183765.23	67.0
903b1b40-2f53-47d2-8dca-2693aecfad43_ENSG00000183765.23	8.0
90654c64-9b7d-42cb-ae0e-92158972a7b0_ENSG00000183765.23	3.0
907d1414-1248-4c7e-a026-cc87b80f0c81_ENSG00000183765.23	18.0
909072f7-abbe-4f93-94ff-cd0be89ab15d_ENSG00000183765.23	7.0
9098b4e7-1df8-4c57-a313-ee80fb03b919_ENSG00000183765.23	7.0
90b3e686-9132-4617-a90b-8c53457ee30a_ENSG00000183765.23	10.0
90b72879-0f25-4b51-8de8-804f34438205_ENSG00000183765.23	10.0
9124c199-9c51-4e73-9321-b5242c5ae315_ENSG00000183765.23	3211.0
9152a3ea-388c-4428-8e85-408a96187f77_ENSG00000183765.23	3.0
9159b671-400f-4011-acfb-db2a25658be1_ENSG00000183765.23	6.0
91f633cd-736d-4769-b069-a1e72503d924_ENSG00000183765.23	404.0
922460b6-4196-4bb9-ba6b-4f63a8a676a7_ENSG00000183765.23	4.0
9242d722-c741-4c1a-8dff-e9de4e77ce39_ENSG00000183765.23	22.0
93545173-400e-4f81-ab40-59ff65cb239a_ENSG00000183765.23	9.0
939febdb-89ec-415c-9eda-7871a4f66174_ENSG00000183765.23	7.0
93a46877-621e-4f75-afbb-dc81b3269f27_ENSG00000183765.23	9.0
9481f306-2fe0-4143-9341-5b6c95410256_ENSG00000183765.23	13.0
9494e13f-ded4-46b0-ad9e-51c4496e737b_ENSG00000183765.23	3.0
94b8d9d1-240f-488f-ab2e-34614a6948fe_ENSG00000183765.23	908.0
951e4a40-4ba2-48c0-8501-51727ce01830_ENSG00000183765.23	54.0
